company,Date,Open,High,Low,Close,Adj Close,Volume
TCS,4/16/2020,1709.949951,1764.900024,1675.050049,1716.050049,1598.010132,6245533
TCS,4/17/2020,1800,1851.949951,1753,1806.199951,1681.958984,9895823
TCS,4/20/2020,1830,1830,1802.5,1818.650024,1693.552612,3244282
TCS,4/21/2020,1765,1794.599976,1727.699951,1737.650024,1618.124146,5122541
TCS,4/22/2020,1737.650024,1790,1719.150024,1769.5,1647.783447,3829836
TCS,4/23/2020,1780,1900,1760.849976,1878.25,1749.052856,5934366
TCS,4/24/2020,1840.699951,1851.949951,1807.800049,1818.550049,1693.459473,2987102
TCS,4/27/2020,1832.300049,1875,1825,1836.599976,1710.268066,3374741
TCS,4/28/2020,1865,1868,1832.599976,1859.050049,1731.173584,2678505
TCS,4/29/2020,1874,1912.550049,1850.050049,1905.650024,1774.568237,4241510
TCS,4/30/2020,1980,2032,1942.199951,2014.449951,1875.884277,5915544
TCS,5/4/2020,1966,1966,1913.650024,1930.449951,1797.661987,3729348
TCS,5/5/2020,1955.099976,1977,1927,1932.75,1799.804199,2905528
TCS,5/6/2020,1939.800049,1953.699951,1893.599976,1903.599976,1772.659302,3517431
TCS,5/7/2020,1910,1934.449951,1883.349976,1891.650024,1761.53125,3166754
TCS,5/8/2020,1939.099976,1939.5,1886.25,1893.400024,1763.160767,2686530
TCS,5/11/2020,1909,1951.400024,1909,1935.300049,1802.178345,2449841
TCS,5/12/2020,1933.400024,1956.5,1910.25,1949.5,1815.401978,3256595
TCS,5/13/2020,1994,1994,1925.650024,1949.650024,1815.541504,2656665
TCS,5/14/2020,1910,1923.099976,1891.099976,1902.349976,1771.495483,2263146
TCS,5/15/2020,1916,1917.400024,1865.199951,1892.900024,1762.695068,3173682
TCS,5/18/2020,1907,1952.949951,1872.099976,1945.599976,1811.770142,3727694
TCS,5/19/2020,1903,1966.449951,1903,1948.650024,1814.610474,3198693
TCS,5/20/2020,1950,1962.900024,1931.699951,1953.599976,1819.219727,2778505
TCS,5/21/2020,1946,1998,1941.150024,1991.199951,1854.233521,3400908
TCS,5/22/2020,1977.099976,2032,1961.25,2020.349976,1881.378418,3663418
TCS,5/26/2020,2015,2024,1925,1943,1809.348999,4575317
TCS,5/27/2020,1959,2010,1941.25,2005.300049,1867.363892,3482160
TCS,5/28/2020,1988.5,2014,1971.300049,2004.300049,1866.432495,3475681
TCS,5/29/2020,1982,2002.650024,1962.400024,1972.349976,1836.680176,7237735
TCS,6/1/2020,1990,2060,1981.099976,2045.25,1904.565796,3747773
TCS,6/2/2020,2060.199951,2081,2040.050049,2047.150024,1906.335083,2443886
TCS,6/3/2020,2051.850098,2063.75,2020,2046.150024,1911.004761,3699799
TCS,6/4/2020,2046.75,2100,2046.75,2091.550049,1953.40625,4048593
TCS,6/5/2020,2091.600098,2098,2040.300049,2048.25,1912.966064,3573289
TCS,6/8/2020,2078.25,2095,2062.100098,2071.75,1934.914063,2957841
TCS,6/9/2020,2063.100098,2095.5,2060.25,2072.050049,1935.19397,2909439
TCS,6/10/2020,2077.050049,2132,2073.5,2108.75,1969.470093,5168397
TCS,6/11/2020,2100,2105,2061.800049,2067.649902,1931.084473,2269513
TCS,6/12/2020,2011.199951,2049.199951,2011,2039.5,1904.793823,2842642
TCS,6/15/2020,2039.099976,2059,2000.949951,2029.900024,1895.828003,2399022
TCS,6/16/2020,2065,2073.949951,2031,2045.800049,1910.677856,2146528
TCS,6/17/2020,2046,2058.850098,2026.550049,2047.800049,1912.545776,2703527
TCS,6/18/2020,2045,2059.199951,2025.199951,2038.099976,1903.48645,1944389
TCS,6/19/2020,2042,2090,2032,2044.599976,1909.556885,5681758
TCS,6/22/2020,2050,2052.25,2019.150024,2027.949951,1894.006836,3196138
TCS,6/23/2020,2027,2044,2010,2035.300049,1900.871216,4205944
TCS,6/24/2020,2034,2064.25,2031.599976,2042.199951,1907.315552,2560937
TCS,6/25/2020,2035,2060,2009.25,2016.099976,1882.939697,3043931
TCS,6/26/2020,2025,2132,2019.949951,2118.850098,1978.902954,6300722
TCS,6/29/2020,2108,2127.600098,2091.300049,2101.649902,1962.838989,3076341
TCS,6/30/2020,2100,2111.899902,2075.050049,2082.149902,1944.626831,3071725
TCS,7/1/2020,2079.699951,2113.949951,2079.5,2092.050049,1953.873413,2503466
TCS,7/2/2020,2102,2165,2098,2157.149902,2014.673096,3758699
TCS,7/3/2020,2163.649902,2205,2160.25,2199.649902,2054.365723,4185208
TCS,7/6/2020,2205,2269.899902,2205,2263.199951,2113.71875,5190366
TCS,7/7/2020,2275,2302.699951,2232.149902,2269.899902,2119.97583,5630055
TCS,7/8/2020,2270,2274.399902,2207.600098,2218.899902,2072.344727,2793358
TCS,7/9/2020,2229,2244.5,2191.050049,2204.350098,2058.755859,3443998
TCS,7/10/2020,2205.25,2249.850098,2176,2222.350098,2075.566895,9610320
